VIDEOID,SIGNALID,LOCATION,TIME1,TIME2,X1,X2,X3,X4,P1,P2,P3,P4,C1,C2,C3,C4,PERSON1,PERSON2,SAVED,NOTES,FOLDER
76,5332,"Main St / SR-165 @ 100 N PVD / 1200 S LGN, PVD",3/25/2019 9:55,3/27/2019 3:39,N,,S,W,8,2,4,6,,,SW,NW,PAS,SB,23:22.2,,2019-03-25 5332
77,7218,"Foothill Dr / Honorary Veterans Blvd / SR-186 @ Wakara Way, SLC",3/25/2019 9:56,3/27/2019 11:05,,,SW,NW,NA,NA,6,8,,,W,,PAS,MH,53:45.7,"actual crosswalks/corners: Southwest (3X), West (C3), Northwest (4X)",2019-03-25 7218
78,7381,"5600 W / SR-172 @ 3500 S / SR-171, WVC",3/25/2019 9:56,3/27/2019 11:05,N,E,S,,2,4,6,8,NE,SE,,,PAS,,59:03.3,,2019-03-25 7381
79,8113,"Bluff St / SR-18 @ Main St / Black Ridge Dr / Hilton Dr, STG",3/25/2019 9:57,3/27/2019 11:05,N,,,W,8,2,4,6,,,,NW,PAS,,00:20.4,,2019-03-25 8113
80,4662,"12600 S / Herriman Blvd @ Main St / 5040 W, HRR",3/27/2019 11:21,3/29/2019 14:03,,E,S,W,NA,4,6,NA,,SE,SW,,PAS,,03:20.9,,2019-03-27 4662
81,5332,"Main St / SR-165 @ 100 N PVD / 1200 S LGN, PVD",3/27/2019 11:21,3/29/2019 14:03,N,E,,W,8,2,4,6,NE,,,NW,PAS,,01:55.8,,2019-03-27 5332
82,7381,"5600 W / SR-172 @ 3500 S / SR-171, WVC",3/27/2019 11:22,3/28/2019 8:41,,,S,W,2,4,6,8,,,SW,,PAS,,04:59.7,,2019-03-27 7381
83,8113,"Bluff St / SR-18 @ Main St / Black Ridge Dr / Hilton Dr, STG",3/27/2019 11:23,3/29/2019 14:03,,E,S,,8,2,4,6,,SE,,,PAS,SB,24:31.5,,2019-03-27 8113
84,6407,"University Ave / US-189 @ Center St, PVO",3/29/2019 14:13,4/1/2019 13:05,,,S,W,8,2,4,6,,,SW,,PAS,mec,20:24.9,,2019-03-29 6407
85,6446,"500 W / State St / US-89 @ Bulldog Blvd / Columbia Ln / 1230 N, PVO",3/29/2019 14:10,4/1/2019 13:05,N,,,W,8,2,4,6,,,,NW,PAS,RM,25:00.4,,2019-03-29 6446
86,1094,"South Temple St @ 700 E / I St, SLC",4/1/2019 13:23,4/3/2019 13:02,,E,S,,6,4,2,3,,SE,,,PAS,,17:03.2,,2019-04-01 1094
87,4511,"4100 S @ 3200 W, WVC",4/1/2019 13:24,4/3/2019 13:02,N,,,W,2,4,6,8,,,,NW,PAS,MH,03:07.7,,2019-04-01 4511
88,5053,"Harrison Blvd / Wildcat Way / SR-203 @ 36th St, OGD",4/1/2019 13:25,4/3/2019 13:02,,,S,W,8,2,4,6,,,SW,,PAS,,25:24.8,,2019-04-01 5053
89,6146,"Cory B Wride Memorial Hwy / SR-73 @ Ranches Pkwy, EAG",4/1/2019 13:25,4/3/2019 13:02,,,S,W,2,NA,6,8,,,SW,,PAS,SB,53:49.7,,2019-04-01 6146
90,7119,"Redwood Rd / SR-68 @ 12600 S / SR-71, RVT",4/1/2019 13:26,4/3/2019 13:02,N,E,,,8,2,4,6,NE,,,,PAS,,33:25.2,,2019-04-01 7119
91,1094,"South Temple St @ 700 E / I St, SLC",4/3/2019 13:17,4/5/2019 14:11,N,,,W,6,4,2,3,,,,NW,PAS,JDD,43:55.1,,2019-04-03 1094
92,4511,"4100 S @ 3200 W, WVC",4/3/2019 13:18,4/5/2019 14:11,,E,S,,2,4,6,8,,SE,,,PAS,MH,10:11.1,,2019-04-03 4511
93,5053,"Harrison Blvd / Wildcat Way / SR-203 @ 36th St, OGD",4/3/2019 13:19,4/5/2019 14:11,N,E,,,8,2,4,6,NE,,,,PAS,SB,18:51.7,,2019-04-03 5053
94,7119,"Redwood Rd / SR-68 @ 12600 S / SR-71, RVT",4/3/2019 13:19,4/5/2019 14:11,,,S,W,8,2,4,6,,,SW,,PAS,SB,54:26.5,,2019-04-03 7119
95,4406,"Union Park Ave / 1300 E @ 7755 S / Forbush Ln, SND",4/5/2019 14:23,4/6/2019 7:36,,E,S,,8,2,4,6,,SE,,,PAS,,39:55.9,,2019-04-05 4406
