"SIGNAL","TIME1","TIME2","TDIFF","X","DIR","P","PED","BIKE","SCOOT","SKATE","WHEEL","OTHER","PEDOUT","A00","A21","A45","A90","A45A","A45B","A45C","A90A","A90B","A90C","A00_2","A45_26","A45_48","A90_26","A90_48","FOLDER"
5306,2019-01-31 12:00:00,2019-01-31 13:00:00,60,2,"E",2,5,1,0,0,0,0,0,27,27,4,4,1,3,3,3,3,3,27,6,6,7,9,"2019-01-31 5306"
5306,2019-01-31 13:00:00,2019-01-31 14:00:00,60,2,"E",2,6,0,0,0,1,0,0,27,27,3,4,3,3,3,3,3,3,27,5,7,6,25,"2019-01-31 5306"
5306,2019-01-31 14:00:00,2019-01-31 15:00:00,60,2,"E",2,12,1,0,0,0,0,0,28,28,7,13,6,7,7,7,7,7,28,10,8,16,16,"2019-01-31 5306"
5306,2019-01-31 12:00:00,2019-01-31 13:00:00,60,3,"S",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-01-31 5306"
5306,2019-01-31 13:00:00,2019-01-31 14:00:00,60,3,"S",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-01-31 5306"
5306,2019-01-31 14:00:00,2019-01-31 15:00:00,60,3,"S",NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-01-31 5306"
